ID,Value
HAD62,[[सिनिनि\N_NN बेसेननि\N_NN सायाव\N_NST]]_NP [[सोनारनासो\V_VM बेसेनखौ\N_NN]]_NP [[थि\JJ खालामनाय\V_VM जायो\V_VM ।\RD_PUNC]]_VGF 
HAD63,[[मोनफ्रोम\PR_PRI कुइन्टल\N_NN]]_NP [[सिनि\N_NN दिहुनथाइनि\V_VM बेसेना\N_NN]]_VGF जेसेबां\QT_QTF सिनि\N_NN मोनो\V_VM]]_NP [[बेखौनो\DM_DMD [[थार\JJ मान\N_NN महरै\PSP]]_NP [[लानाय\V_VM जायो\V_VM ।\RD_PUNC]]_VGF 
HAD64,[[बे\DM_DMD अन्जिमाखौ\N_NN]]_NP बिजिरनो\V_VM थाखाय\PSP]]_NP [[जेबो\CC_CCD [[उदां\N_NN एजेन्सि\RD_UNK]]_NP [[गैया\V_VM ।\RD_PUNC]]_NEGP 
HAD65,[[मिरु\N_NN सरकारा\N_NN]]_NP [[खुसेरनि\N_NN सायाव\N_NST]]_NP [[गोरोन्थि\N_NN]]_NP बेसेन\N_NN फोनांनायनि\V_VM थाखाय\PSP]]_VGINF [[बोसोरब्रैफ्राम\QT_QTO थादʼनायनि\V_VM उनाव\N_NST]]_NP [[खुसेर\N_NNP]]_NP [[आरो\CC_CCD]]_CCP [[सिनि\N_NN दिहुनथाया\V_VM [[दावखोलाय\V_VM [[दावख्लायलाय\V_VM [[जागासिनो\V_VM थायो\V_VM ।\RD_PUNC]]_VGF 
HAD66,"[[मिरु\N_NN सरकारा\N_NN]]_NP [[2009\N_NNP -\RD_PUNC [[10\QT_QTC मायथायाव\N_NN]]_NP [[भारतारि\N_NNP खुसेर\N_NNP सामलाय\V_VM]]_CCP एक्ट\N_NN ,\RD_PUNC]]_NP [[1966\N_NNP मायथायाव\N_NN]]_NP [[फोसाबनानै\V_VM]]_NP [[खुसेर\N_NNP]]_NP [[बेसेन\N_NN हमथानाय\V_VM]]_NP अरदिनेन्स\RD_UNK ,\RD_PUNC]]_NP [[2009\N_NNP मायथायाव\N_NN]]_NP [[जारि\N_NN]]_NP [[खालामदोंमोन\V_VM ।\RD_PUNC]]_VGF "
HAD67,[[बे\DM_DMD खान्थियाव\N_NN]]_NP [[(\RD_PUNC अध्यादेश\RD_UNK )\RD_PUNC]]_NP [[मोनथाम\QT_QTO]]_NP [[(\RD_PUNC बि\RD_UNK )\RD_PUNC]]_NP [[आरो\CC_CCD]]_CCP [[मोनबा\QT_QTC]]_NP [[(\RD_PUNC ए\RD_UNK )\RD_PUNC खौ\PSP]]_FRAGP [[बोखारना\V_VM [[होनाय\V_VM जादोंमोन\V_VM ।\RD_PUNC]]_VGF 
HAD68,[[मोन्थाम\QT_QTO]]_NP [[(\RD_PUNC बि\RD_UNK )\RD_PUNC आव\PSP]]_FRAGP [[रायजोफोरा\N_NN]]_NP [[खुसेरनि\N_NN बेसेनखौ\N_NN]]_NP [[थि\JJ खालामनायनि\V_VM मोन्थाइ\N_NN]]_NP [[दंमोन\V_VM ।\RD_PUNC]]_VGF 
HAD69,[[मोगथाङाव\N_NN खुसेर\N_NNP]]_NP [[दिहुननाय\V_VM]]_VGNF [[खरसाया\N_NN]]_NP [[बांलांगासिनो\V_VM दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD70,[[मिरु\N_NN सरकारा\N_NN]]_NP [[सिनि\N_NN मिल\N_NN [[लाबिनि\N_NN [[नारसिननायाव\V_VM [[रंगराजन\N_NNP समितिनि\N_NN]]_NP सिनि\N_NN उद्यगखौ\N_NN सामलायजानायनिफ्राय\V_VM]]_NP [[उदां\N_NST खालामनायनि\V_VM]]_NP [[गनायथि\V_VM]]_NP [[होनो\V_VM नागिरदों\V_VM ।\RD_PUNC]]_VGF 
HAD71,[[गाज्रि\JJ थासारिया\N_NN]]_NP [[बेनो\DM_DMD]]_NP [[दि\CC_CCS]]_BLK [[दा\N_NST]]_RBP बिजिरसालिया\N_NN [[आबादारिफोरनि\N_NN दिहुनथाइफोरनि\N_NN भाबखौ\N_NN]]_NP [[थि\JJ खालामनो\V_VM नागिरदों\V_VM ।\RD_PUNC]]_VGF 
HAD72,"[[मा\PR_PRQ]]_NP बे\DM_DMD बादि\PSP ,\RD_PUNC]]_NP [[लहा\N_NN ,\RD_PUNC]]_NP [[सिमेन्ट\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[गुबुन\JJ उद्यगारि\N_NN]]_NP दिहुनथाइफोरनि\V_VM बेसेना\N_NN]]_NP [[थि\JJ बेसेनाव\N_NN]]_NP जायो\V_VM ?\RD_PUNC]]_VGF "
HAD73,[[मिथिंगायारि\N_NN खैफोदफोरखौ\N_NN]]_NP [[रावबो\PR_PRI [[होबथानो\V_VM हाया\V_VM]]_VGF [[नाथाय\CC_CCD]]_CCP [[बे\DM_DMD बादि\PSP]]_NP [[खैफोदफोराथʼ\N_NN]]_NP आबादारिफोरनि\N_NN थाखाय\PSP]]_VGINF [[थैनायनिख्रुइ\N_NN [[गिथावसिन\JJ [[जायो\V_VM ।\RD_PUNC]]_VGF 
HAD74,[[आबुङै\RB [[मिथिंगानि\N_NN बान्जायनायनि\V_VM सायाव\N_NST]]_NP [[सोनारग्रा\V_VM आबादारिफोरनि\N_NN]]_NEGP खामानिनि\N_NN रैखाथिनि\N_NN सायाव\N_NST]]_NP [[हादराव\N_NN]]_NP गोथौवै\RB साननायानो\V_VM]]_NP [[जायाखै\V_VM ।\RD_PUNC]]_NEGP 
HAD75,"[[फसल\N_NN बिमानि\N_NN]]_NP [[खायसे\DM_DMI बिथांखिफोर\N_NN]]_NP [[खालामनाय\V_VM जाबाय\V_VM ,\RD_PUNC]]_NP [[बेखौ\DM_DMD]]_NP [[फोसावनाय\V_VM जाबाय\V_VM ,\RD_PUNC]]_VGF [[नाथाय\CC_CCD]]_CCP [[आबादारिफोरा\N_NN [[मोगथाङाव\N_NN [[थगायजाबाय\V_VM थाबाय\V_VM ।\RD_PUNC]]_VGF "
HAD76,[[दाहारखौ\N_NN सुखुफिन्नाय\V_VM]]_NP [[आरो\CC_CCD]]_CCP [[रांखान्थियारि\N_NN फसंथानफोरनि\N_NN]]_NP [[जोहै\PSP दोनथुमनायाबो\V_VM]]_NP [[जोबोर\RP_INTF एसेलʼ\QT_QTF]]_JJP [[जागासिनो\V_VM दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD77,[[बेनि\DM_DMD जावनाव\N_NN [[आबादारिफोरनि\N_NN बीमानि\N_NN [[जेंनायाव\JJ सरकारनि\N_NN]]_NP [[खामानि\N_NN]]_NP दामानिफोरा\N_NN मेगनाव\N_NN नाङै\V_VM ।\RD_PUNC]]_VGF 
HAD78,[[1947\N_NNP]]_NP [[आव\PSP]]_NP [[डा.\RD_UNK राजेन्द्र\N_NNP प्रसादनि\N_NNP [[जोहै\PSP [[मिरुवारि\N_NN [[बिधानाव\N_NN [[फसल\N_NN बीमानि\N_NN सायाव\N_NST]]_NP [[हादरनाङै\N_NN दैखांनाय\V_VM जुक्तिनि\N_NN]]_NP [[गोनांथिखौ\JJ]]_JJP [[मुंखदोंमोन\V_VM ।\RD_PUNC]]_VGF 
HAD79,"[[बेयाव\DM_DMD [[आबाद\N_NN ,\RD_PUNC]]_NP [[गेहु\N_NNP ,\RD_PUNC]]_NP [[दालि\N_NNP ,\RD_PUNC]]_NP [[थाव\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[फालांगियारि\N_NN फसलफोरखौथ\N_NN [[सोफादेरनाय\V_VM [[जायो\V_VM ,\RD_PUNC]]_VGF [[दाहार\N_NN लायि\V_VM]]_NP [[आबादारिफोरखौबो\N_NN]]_NP [[बेनि\DM_DMD]]_NP दायरियाव\N_NN [[सोफादेरनाय\V_VM [[जायो\V_VM ।\RD_PUNC]]_VGF "
HAD80,"[[बेयाव\DM_DMD [[आबाद\N_NN ,\RD_PUNC]]_NP [[गेहु\N_NNP ,\RD_PUNC]]_NP [[दालि\N_NNP ,\RD_PUNC]]_NP [[थाव\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[फालांगियारि\N_NN फसलफोरखौथʼ\N_NN [[सोफादेरनाय\V_VM [[जायो\V_VM ,\RD_PUNC]]_VGF [[दाहार\N_NN लायि\V_VM]]_NP [[आबादारिफोरखौबो\N_NN]]_NP [[बेनि\DM_DMD]]_NP दायरियाव\N_NN [[सोफादेरनाय\V_VM [[जायो\V_VM ।\RD_PUNC]]_VGF "
HAD81,[[दासिमबो\N_NST फसल\N_NN]]_NP खहा\N_NN जानायनि\V_VM]]_NP [[मान\N_NN गोनां\JJ खारिथि\N_NN]]_NP [[जेबो\CC_CCD थि\JJ जायाखै\V_VM ।\RD_PUNC]]_NEGP 
HAD82,[[ओरैनोबाबो\CC_CCD [[जोंनि\N_NNP आबादारिफोरनि\N_NN गेजेराव\N_NST]]_JJP [[लेखा\N_NN रोङैनि\V_VM जौखोन्दोआ\N_NN]]_NP [[बांसिन\QT_QTF]]_JJP [[आरो\CC_CCD]]_CCP [[सांग्रांथिनिबो\JJ आंखाल\N_NN]]_NP [[दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD83,[[25\QT_QTC लाखसो\N_NN आबादारिफोरनि\N_NN]]_NP [[हालेवनाय\V_VM]]_NP [[हानि\N_NN अरथाया\V_VM]]_NP [[से\QT_QTC हेक्टरनिख्रुइबो\N_NN [[खमसिन\QT_QTF [[जायो\V_VM ।\RD_PUNC]]_VGF 
HAD84,[[बे\DM_DMD मानसिफोरा\N_NN]]_NP [[जानोहागौ\V_VM [[गासैबो\PR_PRI दिहुनथाइनि\V_VM]]_NP [[नै\QT_QTC जौखोन्दोनि\N_NN समान\JJ समान\JJ]]_JJP [[प्रिमियाम\RD_UNK]]_NP होनो\V_VM हाहैया\V_VM ।\RD_PUNC]]_VGF 
HAD85,[[मोजां\JJ लामा\N_NN]]_NP गैयि\V_VM खान्थियाव\N_NN]]_VGF [[गोदोनानै\V_VM थानाय\V_VM]]_NP [[आबादारिफोरनि\N_NN]]_NP [[गोदान\JJ फोरमान\V_VM]]_NP [[आबाद\N_NN]]_NP [[सुबुं\N_NN सानखो\N_NN 2010\N_NNP -\RD_PUNC 11\QT_QTC आव\PSP]]_NP [[नुजाथियो\V_VM ।\RD_PUNC]]_VGF 
HAD86,[[फिसा\JJ हालफोरखौ\N_NN]]_NP [[बांसिन\QT_QTF]]_JJP [[आबादारिफोरा\N_NN]]_JJP [[माइ\N_NN हारिनि\N_NN]]_NP [[आबाद\N_NN]]_NP [[मावनायावलʼ\V_VM]]_NP [[बाहायो\V_VM]]_VGF [[नाथाय\CC_CCD]]_CCP [[मुलाम्फा\N_NN गोनां\JJ आबादफोरखौ\N_NN]]_NP नङा\V_VM थामहिनबा\CC_CCD]]_CCP [[फालांगियारि\N_NN फसलफोरनि\N_NN [[आबादजोंसो\N_NN [[जायो\V_VM ।\RD_PUNC]]_VGF 
HAD87,"[[जों\PR_PRP]]_NP [[एसेबां\QT_QTF आबाद\N_NN]]_NP [[मावो\V_VM ,\RD_PUNC]]_NP [[ओरैनो\RB गाज्रि\JJ जालांगासिनो\V_VM]]_NP [[दं\V_VAUX]]_VGF [[नाथाय\CC_CCD]]_CCP [[दालि\N_NNP]]_NP [[आरो\CC_CCD]]_CCP [[पाम\N_NN अवेलखौ\N_NN]]_NP [[गुबुन\JJ हादरनिफ्राय\N_NN]]_NP [[लाबोयो\V_VM ।\RD_PUNC]]_VGF "
HAD88,[[बुहुमाव\N_NN]]_NP [[जौगानाय\V_VM हादरफोराव\N_NN]]_NP [[आबाद\N_NN [[मावनायनि\V_VM महरा\N_NN]]_NP [[गेदेर\JJ]]_JJP [[आरो\CC_CCD]]_CCP [[आबादजों\N_NN जिउ\N_NN दैदेनग्रानि\N_NN]]_NP मानसिफोरनि\N_NN अनजिमाया\N_NN]]_NP [[खम\QT_QTF जायो\V_VM ।\RD_PUNC]]_VGF 
HAD89,[[आबाद\N_NN खोन्दोआव\N_NN]]_NP [[फारियै\RB [[खहा\N_NN जाबाय\V_VM थानायनि\V_VM]]_NP [[बेखौ\DM_DMD]]_NP [[होबथायैनि\V_VM]]_NP [[मोननै\QT_QTO जाहोन\N_NN]]_NP [[दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD90,"[[गिबियाव\N_NST ,\RD_PUNC]]_NP [[भारताव\N_NNP हाया\V_VM]]_NP [[बिफानिफ्राय\N_NN]]_NEGP [[फिसाजल्फोरनिसिम\N_NN]]_NP [[बारस्लायो\V_VM]]_NP [[आरो\CC_CCD]]_CCP [[बांनाय\QT_QTF [[सुबुं\N_NN अनजिमानि\N_NN थाखाय\PSP]]_NP [[आबाद\N_NN मावग्रा\N_NN]]_NP [[हानि\N_NN महरा\N_NN]]_NP [[गावनो\PR_PRC गाव\PR_PRC]]_NP [[खलामायलांगासिनो\V_VM]]_NP [[दं\V_VAUX ।\RD_PUNC]]_VGF "
HAD91,[[नैथियाव\QT_QTO]]_NP [[आरो\CC_CCD]]_CCP [[देरसिन\JJ जाहोना\N_NN]]_NP [[जाबाय\V_VM [[जोंनि\PR_PRP सरकारा\N_NN]]_NP [[आबादजों\N_NN]]_NP [[लोबबा\N_NN गोनां\JJ]]_JJP [[गामियारिफोरखौ\N_NN रांखान्थिनि\N_NN]]_NP गुबुन\JJ खोन्दोफोराव\N_NN]]_NP [[खामानि\N_NN]]_NP [[थिसनना\V_VM होदों\DM_DMI ।\RD_PUNC]]_VGF 
HAD92,[[जोंनि\PR_PRP हादरनि\N_NN]]_NP [[गोबां\QT_QTF [[सुबुं\N_NN फुंखाया\N_NN]]_NP [[गामि\N_NN [[ओनसोलफोराव\N_NN उन\N_NST]]_NP [[जागासिनो\V_VM दं\V_VAUX]]_VGF [[मानोना\CC_CCS]]_CCP [[सरकारनाव\N_NN गोग्लैसोनाय\V_VM]]_NP [[आबाद\N_NN]]_NP [[खोन्दोखौ\N_NN]]_NP [[हमथानायनि\V_VM]]_NP [[जेबो\CC_CCD]]_NEGP [[बिथांखि\N_NN]]_NP [[गैया\V_VM ।\RD_PUNC]]_NEGP 
HAD93,"[[हादरिनि\N_NN आबादारिफोरा\N_NN]]_NP [[मोनसे\QT_QTO एरै\RB बादि\PSP बेरामनि\N_NN]]_NP बिगोमा\N_NN ,\RD_PUNC]]_VGF [[जायनि\PR_PRL]]_CCP गारायाव\N_NN मलम\N_NN]]_NP [[लगायग्रा\N_NN]]_NP [[सरकारा\N_NN]]_NP [[गावनि\PR_PRC खान्थिफोरनि\N_NN जोहै\PSP]]_NP [[गावनो\PR_PRC गाव\PR_PRC]]_NP [[जखम\N_NN]]_NP [[खालामगासिनो\V_VM ।\RD_PUNC]]_VGF "
HAD94,"[[थांनाय\V_VM सानफोराव\N_NN]]_NP [[जेब्ला\N_NST]]_RBP हादरनाङैनो\N_NN दिपावालि\N_NN]]_NP [[फोरबोखौ\N_NN]]_NP [[फालिनायाव\V_VM]]_NP [[गोदोहाबना\V_VM [[दंमोन\V_VM ,\RD_PUNC]]_VGF [[अब्ला\N_NST हादरनि\N_NN]]_NP [[खमैबो\QT_QTF]]_NP मोनथाम\QT_QTO बाहागोफोराव\N_NN]]_NP [[आबादारिफोरा\N_NN]]_NP [[जिउ\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[थैनायजों\V_VM [[फेरफाथिनांदोंमोन\V_VM ।\RD_PUNC]]_VGF "
HAD95,"[[बिदर्भ\N_NNP हादराव\N_NN]]_NP [[आबादारिफोरा\N_NN]]_NP [[गावखौ\PR_PRC]]_NP फोथैना\V_VM लानायनि\V_VM मिरु\N_NN]]_NP जाबाय\V_VM ,\RD_PUNC]]_VGF [[जेराव\N_NST]]_NP [[फारियै\RB माखासे\PR_PRI बोसोरनिफ्राय\N_NN]]_NP [[बेसेबांबा\QT_QTF आबादारिफोरा\N_NN]]_NP [[गावनि\PR_PRC]]_NP गोसो\N_NN बादि\PSP]]_NP [[मावगासिनो\V_VM दं\V_VAUX ।\RD_PUNC]]_VGF "
HAD96,"[[जेराव\N_NST]]_NP [[थोंजों\JJ आबादारिफोरनि\N_NN]]_VGNF [[हाफोरखौ\N_NN लानाय\V_VM जायाखै\V_VM ,\RD_PUNC]]_NP [[बैयावबो\DM_DMD आबादारिफोरनि\N_NN]]_NP [[खैफोदा\N_NN]]_NP [[साग्लोबफैयो\V_VM ।\RD_PUNC]]_VGF "
HAD97,[[सोमखोर\JJ जांख्रिथाइनि\N_NN]]_NP [[अगेन\JJ फिनजाथाया\JJ]]_NP [[दा\N_NST]]_RBP साखाथियाव\N_NN साफिगासिनो\V_VM]]_NP [[दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD98,[[सानिफ्राय\N_NST बिहोथायखौ\N_NN]]_NP [[खम\QT_QTF खालामनो\V_VM थाखाय\PSP]]_VGINF [[गोसो\N_NN गोनां\JJ]]_NP [[आरो\CC_CCD]]_CCP [[उदां\N_NN फालांगिरिफोरनि\N_NN]]_NP [[रांखान्थियारि\N_NN]]_JJP [[फोसाबथाइफोरा\N_NN]]_NP [[आबादखौ\N_NN]]_VGNF [[थाबै\RB खमायहोनानै\V_VM]]_NP [[थांना\N_NN थानायनि\V_VM राहा\N_NN]]_NP [[खालामना\V_VM होबाय\V_VM ।\RD_PUNC]]_VGF 
HAD99,[[बेखायनो\CC_CCD]]_RBP [[खुसेरनि\N_NNP मोजांसिन\JJ बेसेननि\N_NN]]_JJP [[सोंथिया\N_NN]]_NP [[सोनाब\N_NN महाराष्ट्रनि\N_NNP]]_NP [[आबादारिफोरनि\N_NN थाखाय\PSP [[थैनाय\V_VM थांनायनि\V_VM]]_NP [[सोंथि\N_NN]]_NP [[जानानै\V_VM]]_VGNF [[फैबाय\V_VM ।\RD_PUNC]]_VGF 
HAD100,[[सरकारनि\N_NN बिबांनि\N_NN सायाव\N_NST]]_NP [[गोथौवै\RB]]_NP [[सानोब्ला\V_VM]]_VGNF [[1995\N_NNP निफ्राय\N_NN 2011\N_NNP बोसोरसिम\N_NN जोंनि\PR_PRP हादराव\N_NN]]_NP [[नै\QT_QTC लाख\N_NN 71\QT_QTC रोजासो\N_NN]]_JJP [[आबादारिफोरा\N_NN गाव\N_NST]]_NP गावसोरखौ\N_NST फोथैना\V_VM [[लाखांबायमोन\V_VM ।\RD_PUNC]]_VGF 
